work_year,experience_level,employment_type,job_title, salary ,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ESP,100,ESP,L
2023,MI,CT,ML Engineer,30000,USD,30000,USA,100,USA,S
2023,MI,CT,ML Engineer,25500,USD,25500,USA,100,USA,S
2023,SE,FT,Data Scientist,175000,USD,175000,CAN,100,CAN,M
2023,SE,FT,Data Scientist,120000,USD,120000,CAN,100,CAN,M
2023,SE,FT,Applied Scientist,222200,USD,222200,USA,0,USA,L
2023,SE,FT,Applied Scientist,136000,USD,136000,USA,0,USA,L
2023,SE,FT,Data Scientist,219000,USD,219000,CAN,0,CAN,M
2023,SE,FT,Data Scientist,141000,USD,141000,CAN,0,CAN,M
2023,SE,FT,Data Scientist,147100,USD,147100,USA,0,USA,M
2023,SE,FT,Data Scientist,90700,USD,90700,USA,0,USA,M
2023,SE,FT,Data Analyst,130000,USD,130000,USA,100,USA,M
2023,SE,FT,Data Analyst,100000,USD,100000,USA,100,USA,M
2023,EN,FT,Applied Scientist,213660,USD,213660,USA,0,USA,L
2023,EN,FT,Applied Scientist,130760,USD,130760,USA,0,USA,L
2023,SE,FT,Data Modeler,147100,USD,147100,USA,0,USA,M
2023,SE,FT,Data Modeler,90700,USD,90700,USA,0,USA,M
2023,SE,FT,Data Scientist,170000,USD,170000,USA,0,USA,M
2023,SE,FT,Data Scientist,150000,USD,150000,USA,0,USA,M
2023,MI,FT,Data Analyst,150000,USD,150000,USA,100,USA,M
2023,MI,FT,Data Analyst,110000,USD,110000,USA,100,USA,M
2023,SE,FT,Research Engineer,275000,USD,275000,DEU,0,DEU,M
2023,SE,FT,Research Engineer,174000,USD,174000,DEU,0,DEU,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,GBR,100,GBR,M
2023,SE,FT,Analytics Engineer,143200,USD,143200,GBR,100,GBR,M
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,USA,0,USA,M
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,USA,0,USA,M
2023,SE,FT,Data Strategist,90000,USD,90000,CAN,0,CAN,M
2023,SE,FT,Data Strategist,72000,USD,72000,CAN,0,CAN,M
2023,SE,FT,Data Engineer,253200,USD,253200,USA,0,USA,M
2023,SE,FT,Data Engineer,90700,USD,90700,USA,0,USA,M
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,USA,0,USA,M
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,USA,0,USA,M
2023,MI,FT,Data Engineer,162500,USD,162500,USA,0,USA,M
2023,MI,FT,Data Engineer,130000,USD,130000,USA,0,USA,M
2023,MI,FT,Data Analyst,105380,USD,105380,USA,0,USA,M
2023,MI,FT,Data Analyst,64500,USD,64500,USA,0,USA,M
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NGA,100,NGA,L
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NGA,100,NGA,L
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IND,50,IND,L
2023,EN,FT,Applied Scientist,204620,USD,204620,USA,0,USA,L
2023,EN,FT,Applied Scientist,110680,USD,110680,USA,0,USA,L
